run_id,ncbi_taxon_id,taxon_rank_level,relative_abundance,name,lineage,CDF,,,,,,,
ERR1912974,2292924,species,0.138556,Bacteroides sp. AF25-38AC,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides sp. AF25-38AC__2292924,0.999488057183056,
ERR1912974,1235787,strain,0.134999,Bacteroides uniformis dnLKV2,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides uniformis__820,st__Bacteroides uniformis dnLKV2__1235787,0.999235878940862
ERR1912974,1236512,strain,0.031697,Bacteroides rodentium JCM 16496,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides rodentium__691816,st__Bacteroides rodentium JCM 16496__1236512,0.996235258234971
ERR1912974,2516960,species,0.011424,Bacteroides muris,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides muris__2516960,0.982405568978222,
ERR1912974,657309,strain,0.008846,Bacteroides xylanisolvens XB1A,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides xylanisolvens__371601,st__Bacteroides xylanisolvens XB1A__657309,0.911408640160099
ERR1912974,997885,strain,0.006296,Bacteroides ovatus CL02T12C04,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides ovatus__28116,st__Bacteroides ovatus CL02T12C04__997885,0.935034566897047
ERR1912974,816,genus,0.007578,Bacteroides,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,0.0496798315035686,,
ERR1912974,483215,strain,0.012512,Bacteroides finegoldii DSM 17565,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides finegoldii__338188,st__Bacteroides finegoldii DSM 17565__483215,0.926213908092651
ERR1912974,818,species,0.004547,Bacteroides thetaiotaomicron,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides thetaiotaomicron__818,0.6135850164927,
ERR1912974,1077285,strain,0.025446,Bacteroides faecis MAJ27,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides faecis__674529,st__Bacteroides faecis MAJ27__1077285,0.971129851829055
ERR1912974,665953,strain,0.020514,Bacteroides eggerthii 1_2_48FAA,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides eggerthii__28111,st__Bacteroides eggerthii 1_2_48FAA__665953,0.924794631964144
ERR1912974,449673,strain,0.005344,Bacteroides stercoris ATCC 43183,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides stercoris__46506,st__Bacteroides stercoris ATCC 43183__449673,0.755274501829979
