run_id,ncbi_taxon_id,taxon_rank_level,relative_abundance,name,lineage,CDF,,,,,,,
ERR527150,671267,species,0.000841,Phocaeicola sartorii,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Phocaeicola__909656,s__Phocaeicola sartorii__671267,0.565717771451817,
ERR527150,1121098,strain,0.035564,Phocaeicola massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Phocaeicola__909656,s__Phocaeicola massiliensis__204516,st__Phocaeicola massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223__1121098,0.939521940746906
ERR527150,1235786,strain,0.0164209999999999,Phocaeicola vulgatus dnLKV7,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Phocaeicola__909656,s__Phocaeicola vulgatus__821,st__Phocaeicola vulgatus dnLKV7__1235786,0.970192640790366
ERR527150,556260,strain,0.005678,Phocaeicola dorei 5_1_36/D4,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Phocaeicola__909656,s__Phocaeicola dorei__357276,st__Phocaeicola dorei 5_1_36/D4__556260,0.92207669700609
ERR527150,470145,strain,0.00805,Phocaeicola coprocola DSM 17136,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Phocaeicola__909656,s__Phocaeicola coprocola__310298,st__Phocaeicola coprocola DSM 17136__470145,0.854920699471276
ERR527150,484018,strain,0.09978,Phocaeicola plebeius DSM 17135,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Phocaeicola__909656,s__Phocaeicola plebeius__310297,st__Phocaeicola plebeius DSM 17135__484018,0.969614724967653
ERR527150,2292941,species,0.075159,Bacteroides sp. AM22-3LB,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides sp. AM22-3LB__2292941,0.9941730265931,
ERR527150,2516960,species,0.002801,Bacteroides muris,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides muris__2516960,0.879727531516817,
ERR527150,483215,strain,0.013634,Bacteroides finegoldii DSM 17565,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides finegoldii__338188,st__Bacteroides finegoldii DSM 17565__483215,0.933377987225726
ERR527150,411476,strain,0.002339,Bacteroides ovatus ATCC 8483,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides ovatus__28116,st__Bacteroides ovatus ATCC 8483__411476,0.960178749676436
ERR527150,1073351,strain,0.022442,Bacteroides stercoris CC31F,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides stercoris__46506,st__Bacteroides stercoris CC31F__1073351,0.948088484006718
ERR527150,28111,species,0.000563,Bacteroides eggerthii,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides eggerthii__28111,0.564050427002855,
ERR527150,818,species,0.004406,Bacteroides thetaiotaomicron,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides thetaiotaomicron__818,0.609042848164441,
ERR527150,1339271,strain,0.001096,Bacteroides fragilis str. J-143-4,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides fragilis__817,st__Bacteroides fragilis str. J-143-4__1339271,0.999145056152513
ERR527150,411901,strain,0.0031469999999999,Bacteroides caccae ATCC 43185,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides caccae__47678,st__Bacteroides caccae ATCC 43185__411901,0.634790565270427
ERR527150,537012,strain,0.000463,Bacteroides cellulosilyticus DSM 14838,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides cellulosilyticus__246787,st__Bacteroides cellulosilyticus DSM 14838__537012,0.774501830012163
