run_id,ncbi_taxon_id,taxon_rank_level,relative_abundance,name,lineage,CDF,,,,,,,
223594,562,species,0.0001,Escherichia coli,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,g__Escherichia__561,s__Escherichia coli__562,0.456079707198067,
223594,816,genus,0.0006,Bacteroides,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,0.0236179652609094,,
223594,1301,genus,0.0007,Streptococcus,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Streptococcaceae__1300,g__Streptococcus__1301,0.480276535176921,,
223594,1308,species,0.0183,Streptococcus thermophilus,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Streptococcaceae__1300,g__Streptococcus__1301,s__Streptococcus thermophilus__1308,0.980880423914524,
223594,1522,species,0.0001,[Clostridium] innocuum,sk__Bacteria__2,p__Bacillota__1239,c__Erysipelotrichia__526524,o__Erysipelotrichales__526525,f__Coprobacillaceae__2810280,g__Thomasclavelia__3025755,s__[Clostridium] innocuum__1522,0.851159007726665,
223594,28125,species,0.0001,Prevotella bivia,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Prevotellaceae__171552,g__Prevotella__838,s__Prevotella bivia__28125,0.94957299715324,
223594,33025,species,0.0033,Phascolarctobacterium faecium,sk__Bacteria__2,p__Bacillota__1239,c__Negativicutes__909932,o__Acidaminococcales__1843488,f__Acidaminococcaceae__909930,g__Phascolarctobacterium__33024,s__Phascolarctobacterium faecium__33025,0.649654331028863,
223594,102106,genus,0.0006,Collinsella,sk__Bacteria__2,p__Actinomycetota__201174,c__Coriobacteriia__84998,o__Coriobacteriales__84999,f__Coriobacteriaceae__84107,g__Collinsella__102106,0.410329402196031,,
223594,105843,species,0.0003,Anaerobutyricum soehngenii,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Lachnospirales__3085636,f__Lachnospiraceae__186803,g__Anaerobutyricum__2569097,s__Anaerobutyricum soehngenii__105843,0.568117120780812,
223594,172901,species,0.0001,Victivallis vadensis,sk__Bacteria__2,p__Lentisphaerota__256845,c__Lentisphaeria__1313211,o__Victivallales__278082,f__Victivallaceae__255528,g__Victivallis__172900,s__Victivallis vadensis__172901,0.902196014640033,
223594,186803,family,0.0054,Lachnospiraceae,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Lachnospirales__3085636,f__Lachnospiraceae__186803,0.013689728946019,,,
223594,216851,genus,0.0098999999999999,Faecalibacterium,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,g__Faecalibacterium__216851,0.117527450182997,,
223594,297352,strain,0.0001,Lactococcus piscium MKFS47,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Streptococcaceae__1300,g__Lactococcus__1357,s__Lactococcus piscium__1364,st__Lactococcus piscium MKFS47__297352,0.998779991866527
223594,301302,species,0.0172,Roseburia faecis,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Lachnospirales__3085636,f__Lachnospiraceae__186803,g__Roseburia__841,s__Roseburia faecis__301302,0.787598976149997,
223594,349741,strain,0.0002,Akkermansia muciniphila ATCC BAA-835,sk__Bacteria__2,p__Verrucomicrobiota__74201,c__Verrucomicrobiae__203494,o__Verrucomicrobiales__48461,f__Akkermansiaceae__1647988,g__Akkermansia__239934,s__Akkermansia muciniphila__239935,st__Akkermansia muciniphila ATCC BAA-835__349741,0.710044733631534
223594,358742,species,0.0003,Enterocloster aldenensis,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Lachnospirales__3085636,f__Lachnospiraceae__186803,g__Enterocloster__2719313,s__Enterocloster aldenensis__358742,0.833468889792549,
