run_id,ncbi_taxon_id,taxon_rank_level,relative_abundance,name,lineage,CDF
SRR5831603,1207542,strain,0.718746,Bifidobacterium bifidum LMG 13195,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Bifidobacteriales__85004;f__Bifidobacteriaceae__31953;g__Bifidobacterium__1678;s__Bifidobacterium bifidum__1681;st__Bifidobacterium bifidum LMG 13195__1207542,1.0
SRR5831603,1457183,strain,0.084919,Bifidobacterium longum subsp. infantis EK3,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Bifidobacteriales__85004;f__Bifidobacteriaceae__31953;g__Bifidobacterium__1678;s__Bifidobacterium longum__216816;st__Bifidobacterium longum subsp. infantis EK3__1457183,0.9961721579068552
SRR5831603,1447716,strain,0.024066,Bifidobacterium catenulatum PV20-2,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Bifidobacteriales__85004;f__Bifidobacteriaceae__31953;g__Bifidobacterium__1678;s__Bifidobacterium catenulatum__1686;st__Bifidobacterium catenulatum PV20-2__1447716,0.9990385020303738
SRR5831603,547043,strain,0.0072,Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Bifidobacteriales__85004;f__Bifidobacteriaceae__31953;g__Bifidobacterium__1678;s__Bifidobacterium pseudocatenulatum__28026;st__Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505__547043,0.976296970681357
SRR5831603,1680,species,0.00133,Bifidobacterium adolescentis,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Bifidobacteriales__85004;f__Bifidobacteriaceae__31953;g__Bifidobacterium__1678;s__Bifidobacterium adolescentis__1680,0.6097471601318692
SRR5831603,1385942,strain,0.022126,Bifidobacterium breve 689b,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Bifidobacteriales__85004;f__Bifidobacteriaceae__31953;g__Bifidobacterium__1678;s__Bifidobacterium breve__1685;st__Bifidobacterium breve 689b__1385942,1.0
SRR5831603,1437610,strain,0.001387,Bifidobacterium reuteri DSM 23975,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Bifidobacteriales__85004;f__Bifidobacteriaceae__31953;g__Bifidobacterium__1678;s__Bifidobacterium reuteri__983706;st__Bifidobacterium reuteri DSM 23975__1437610,0.9998666106236278
SRR5831603,2045440,species,0.000124,Bifidobacterium felsineum,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Bifidobacteriales__85004;f__Bifidobacteriaceae__31953;g__Bifidobacterium__1678;s__Bifidobacterium felsineum__2045440,0.9998735800658568
SRR5831603,2490545,species,0.00012,Bifidobacterium jacchi,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Bifidobacteriales__85004;f__Bifidobacteriaceae__31953;g__Bifidobacterium__1678;s__Bifidobacterium jacchi__2490545,1.0
SRR5831603,1715104,species,2.1e-05,Rothia sp. HMSC064D08,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Micrococcales__85006;f__Micrococcaceae__1268;g__Rothia__32207;s__Rothia sp. HMSC064D08__1715104,0.9996648464101804
SRR5831603,762948,strain,1.9e-05,Rothia dentocariosa ATCC 17931,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Micrococcales__85006;f__Micrococcaceae__1268;g__Rothia__32207;s__Rothia dentocariosa__2047;st__Rothia dentocariosa ATCC 17931__762948,0.9998283864662476
SRR5831603,102106,genus,9e-06,Collinsella,sk__Bacteria__2;p__Actinomycetota__201174;c__Coriobacteriia__84998;o__Coriobacteriales__84999;f__Coriobacteriaceae__84107;g__Collinsella__102106,0.4056736289238848
SRR5831603,2650472,species,0.001482,Collinsella sp. AK_207A,sk__Bacteria__2;p__Actinomycetota__201174;c__Coriobacteriia__84998;o__Coriobacteriales__84999;f__Coriobacteriaceae__84107;g__Collinsella__102106;s__Collinsella sp. AK_207A__2650472,0.9998422766410628
SRR5831603,411903,strain,0.0001919999999999,Collinsella aerofaciens ATCC 25986,sk__Bacteria__2;p__Actinomycetota__201174;c__Coriobacteriia__84998;o__Coriobacteriales__84999;f__Coriobacteriaceae__84107;g__Collinsella__102106;s__Collinsella aerofaciens__74426;st__Collinsella aerofaciens ATCC 25986__411903,0.6447729446146996
SRR5831603,1040964,strain,0.043327,Ligilactobacillus ruminis SPM0211,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Lactobacillaceae__33958;g__Ligilactobacillus__2767887;s__Ligilactobacillus ruminis__1623;st__Ligilactobacillus ruminis SPM0211__1040964,0.997481076134545
