name,rank,lineage,,,,,,,
Enterococcus gilvus ATCC BAA-350,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Enterococcaceae__81852,g__Enterococcus__1350,s__Enterococcus gilvus__160453,st__Enterococcus gilvus ATCC BAA-350__1158614
Mastigocladopsis repens,species,sk__Bacteria__2,p__Cyanobacteriota__1117,c__Cyanophyceae__3028117,o__Nostocales__1161,f__Symphyonemataceae__1892258,g__Mastigocladopsis__221282,s__Mastigocladopsis repens__221287,
Enterococcus faecalis EnGen0251,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Enterococcaceae__81852,g__Enterococcus__1350,s__Enterococcus faecalis__1351,st__Enterococcus faecalis EnGen0251__1158631
Pseudomonas jessenii,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Pseudomonadales__72274,f__Pseudomonadaceae__135621,g__Pseudomonas__286,s__Pseudomonas jessenii__77298,
Streptococcus mitis SK321,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Streptococcaceae__1300,g__Streptococcus__1301,s__Streptococcus mitis__28037,st__Streptococcus mitis SK321__585202
Ensifer,genus,sk__Bacteria__2,p__Pseudomonadota__1224,c__Alphaproteobacteria__28211,o__Hyphomicrobiales__356,f__Rhizobiaceae__82115,g__Ensifer__106591,,
Ensifer adhaerens,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Alphaproteobacteria__28211,o__Hyphomicrobiales__356,f__Rhizobiaceae__82115,g__Ensifer__106591,s__Ensifer adhaerens__106592,
Enterococcus faecalis EnGen0301,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Enterococcaceae__81852,g__Enterococcus__1350,s__Enterococcus faecalis__1351,st__Enterococcus faecalis EnGen0301__1158640
Bradyrhizobium sp. CCBAU 15615,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Alphaproteobacteria__28211,o__Hyphomicrobiales__356,f__Nitrobacteraceae__41294,g__Bradyrhizobium__374,s__Bradyrhizobium sp. CCBAU 15615__1128179,
Mycoplasma simbae,species,sk__Bacteria__2,p__Mycoplasmatota__544448,c__Mollicutes__31969,o__Mycoplasmatales__2085,f__Mycoplasmataceae__2092,g__Mycoplasma__2093,s__Mycoplasma simbae__36744,
Pseudarthrobacter siccitolerans,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Micrococcales__85006,f__Micrococcaceae__1268,g__Pseudarthrobacter__1742993,s__Pseudarthrobacter siccitolerans__861266,
Enterococcus faecalis EnGen0239,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Enterococcaceae__81852,g__Enterococcus__1350,s__Enterococcus faecalis__1351,st__Enterococcus faecalis EnGen0239__1158620
Tyzzerella sp. An114,species,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Lachnospirales__3085636,f__Lachnospiraceae__186803,g__Tyzzerella__1506577,s__Tyzzerella sp. An114__1965545,
Escherichia coli 042,strain,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,g__Escherichia__561,s__Escherichia coli__562,st__Escherichia coli 042__216592
Streptococcus mitis SK564,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Streptococcaceae__1300,g__Streptococcus__1301,s__Streptococcus mitis__28037,st__Streptococcus mitis SK564__585203
Bifidobacterium scardovii JCM 12489 = DSM 13734,strain,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Bifidobacteriales__85004,f__Bifidobacteriaceae__31953,g__Bifidobacterium__1678,s__Bifidobacterium scardovii__158787,st__Bifidobacterium scardovii JCM 12489 = DSM 13734__1150461
Desulfovibrio sp. Dsv1,species,sk__Bacteria__2,p__Thermodesulfobacteriota__200940,c__Desulfovibrionia__3031449,o__Desulfovibrionales__213115,f__Desulfovibrionaceae__194924,g__Desulfovibrio__872,s__Desulfovibrio sp. Dsv1__1292024,
