Name,Collection,Top 1 Organism,Top 2 Organism,Top 3 Organism,Top 4 Organism,Top 5 Organism,Top 6 Organism,Top 7 Organism,Top 8 Organism,Top 9 Organism,Top 10 Organism,Top 11 Organism,Top 12 Organism,Top 13 Organism,Top 14 Organism,Top 15 Organism,Top 16 Organism,Top 17 Organism,Top 18 Organism,Top 19 Organism,Top 20 Organism,Top 21 Organism,Top 22 Organism,Top 23 Organism,Top 24 Organism,Top 25 Organism,Top 26 Organism,Top 27 Organism,Top 28 Organism,Top 29 Organism,Top 30 Organism
Diarrhea,symptoms,[562] Escherichia coli (0.2325),[35832] Bilophila (0.2281),[561] Escherichia (0.1797),[Pathogen] Shigella (0.1661),[1224] Pseudomonadota (0.1598),[239759] Alistipes (-0.1342),[40520] Blautia obeum (-0.1318),[301302] Roseburia faecis (-0.1194),[33033] Parvimonas micra (-0.1194),[147206] Collinsella stercoris (0.1194),[418240] Blautia wexlerae (0.1194),[936548] Actinomyces sp. ICM47 (-0.1194),[471189] Gordonibacter pamelaeae (-0.1194),[33025] Phascolarctobacterium faecium (0.1194),[1262992] Firmicutes bacterium CAG:83 (-0.1194),[33038] Mediterraneibacter gnavus (0.1194),[1628085] Agathobaculum butyriciproducens (0.1194),[261299] Intestinibacter bartlettii (-0.1194),[544580] Actinomyces oris (-0.1194),[371601] Bacteroides xylanisolvens (0.1194),[1535] [Clostridium] leptum (-0.1194),[47678] Bacteroides caccae (0.1194),[1655] Actinomyces naeslundii (-0.1194),[1550024] Ruthenibacterium lactatiformans (-0.1194),[39486] Dorea formicigenerans (-0.1194),[28026] Bifidobacterium pseudocatenulatum (-0.1194),[74426] Collinsella aerofaciens (0.1194),[143393] [Eubacterium] sulci (0.1194),[1328] Streptococcus anginosus (-0.1194),[817] Bacteroides fragilis (-0.1194)
Maltose Digestion,metabolisms,[1870985] Arabiibacter massiliensis (0.0026),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anxiety,symptoms,[561] Escherichia (0.0517),[Pathogen] Shigella (0.0517),[33042] Coprococcus (-0.0517),[171552] Prevotellaceae (-0.0377),[1506553] Lachnoclostridium (0.0359),[1239] Bacillota (0.0359),[84111] Eggerthella (0.0351),[216851] Faecalibacterium (-0.0351),[1150298] Fusicatenibacter saccharivorans (-0.0327),[816] Bacteroides (0.0245),[572511] Blautia (-0.0243),[162289] Peptoniphilus (-0.0206),[665874] Limnohabitans (-0.0206),[28231] Geobacter (-0.0206),[254245] Aquicella (-0.0206),[871665] Blautia faecis (-0.0193),[216572] Oscillospiraceae (-0.0191),[838] Prevotella (-0.0189),[83770] Succinivibrio (-0.0188),[877428] rumen bacterium NK4A214 (-0.0188),[1940338] Escherichia/Shigella sp. (0.0188),[31969] Mollicutes (-0.0188),[52225] Mitsuokella (-0.0188),[290054] Eubacterium coprostanoligenes (-0.0188),[292632] Subdoligranulum (-0.0188),[508215] Rothia (0.0166),[1380] Atopobium (0.0166),[201174] Actinomycetota (-0.0166),[379] Rhizobium (-0.0166),[2801844] Arachnia (0.0166)
Creatinine,symptoms,[1350] Enterococcus (-0.0314),[91061] Bacilli (-0.0314),[186826] Lactobacillales (-0.0314),[213115] Desulfovibrionales (0.0314),[28117] Alistipes putredinis (0.0001),[823] Parabacteroides distasonis (0.0001),[41978] Ruminococcus sp. (0.0001),[Probiotic] Akkermansia muciniphila (0.0001),,,,,,,,,,,,,,,,,,,,,,
Galacto-Oligosaccharide Digestion,metabolisms,[Probiotic] Bifidobacterium bifidum (0.0788),[Probiotic] Bifidobacterium breve (0.0742),[Probiotic] Bifidobacterium longum subsp. infantis (0.0731),[Probiotic] Bifidobacterium longum (0.0659),[1678] Bifidobacterium (0.0498),[1680] Bifidobacterium adolescentis (0.047),[1686] Bifidobacterium catenulatum (0.0345),[853] Faecalibacterium prausnitzii (0.0325),[2172] Methanobrevibacter (0.0325),[990719] Christensenellaceae (0.0325),[84112] Eggerthella lenta (0.0325),[33043] Coprococcus eutactus (0.0325),[447020] Adlercreutzia (0.0325),[33042] Coprococcus (0.0325),[1301] Streptococcus (0.0325),[Probiotic] Bifidobacterium animalis (0.0325),[1357] Lactococcus (0.0325),[526525] Erysipelotrichales (0.0325),[301302] Roseburia faecis (0.0325),[84107] Coriobacteriaceae (0.0325),[201174] Actinomycetota (0.0325),[1654] Actinomyces (0.0325),[186803] Lachnospiraceae (0.0325),[1263] Ruminococcus (0.0325),[1683] Bifidobacterium angulatum (0.0325),[186802] Eubacteriales (0.0325),[74426] Collinsella aerofaciens (0.0325),[33035] Blautia producta (0.0325),[1578] Lactobacillus (0.0325),[186826] Lactobacillales (0.0325)
Vitamin D,symptoms,[724] Haemophilus (0.0102),[1253] Pediococcus (0.0102),[201174] Actinomycetota (0.0102),[816] Bacteroides (-0.0102),,,,,,,,,,,,,,,,,,,,,,,,,,
Chitin-oligosaccharide Digestion,metabolisms,[Probiotic] Lactobacillus acidophilus (0.0001),[Probiotic] Bifidobacterium bifidum (0.0001),[Probiotic] Levilactobacillus brevis (0.0001),,,,,,,,,,,,,,,,,,,,,,,,,,,
Oligosaccharide Digestion,metabolisms,[1680] Bifidobacterium adolescentis (0.0206),[Probiotic] Pediococcus acidilactici (0.0204),[418240] Blautia wexlerae (0.0204),[186803] Lachnospiraceae (0.0204),[228604] Segatella salivae (0.0204),[817] Bacteroides fragilis (0.0204),[39491] Agathobacter rectalis (0.0204),[357276] Phocaeicola dorei (0.0204),[371601] Bacteroides xylanisolvens (0.0204),[1531] Enterocloster clostridioformis (0.0204),[820] Bacteroides uniformis (0.0204),[156456] Anaeroglobus geminatus (0.0204),[Probiotic] Bifidobacterium animalis subsp. lactis Bl-04 (0.009),[Probiotic] Bifidobacterium longum (0.0001),[821] Phocaeicola vulgatus (0.0001),[28116] Bacteroides ovatus (0.0001),[1520] Clostridium beijerinckii (0.0001),[573] Klebsiella pneumoniae (0.0001),[Probiotic] Lactobacillus acidophilus (0.0001),,,,,,,,,,,
Psyllium Digestion,metabolisms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Scleroderma, Systemic",conditions,[574697] Butyricimonas (0.0235),[1301] Streptococcus (0.0197),[872] Desulfovibrio (0.0189),[191303] Turicibacter (-0.0189),[Probiotic] Ligilactobacillus salivarius (0.0166),[2840482] Coriobacteriaceae incertae sedis (-0.0166),[2005473] Muribaculaceae (0.0166),[375288] Parabacteroides (0.0143),[Probiotic] Streptococcus salivarius (0.0102),[165779] Anaerococcus (0.0092),[1357] Lactococcus (-0.0056),[1578] Lactobacillus (0.0049),[40544] Sutterella (-0.0048),[216851] Faecalibacterium (-0.0046),[248038] Mucispirillum (-0.0046),[581] Morganella (0.0046),[848] Fusobacterium (0.0046),[1253] Pediococcus (0.0046),[1485] Clostridium (-0.0046),[47670] Lautropia (0.0046),[551] Erwinia (0.0046),[89583] Gluconacetobacter (0.0046),[303379] Herminiimonas (0.0046),[119852] Oscillospira (0.0046),[102106] Collinsella (0.0046),[86331] Mogibacterium (0.0046),[189330] Dorea (0.0046),[704093] Anaerobacillus (0.0046),[2737] Vagococcus (0.0046),[543311] Parvimonas (0.0046)
Atrial Fibrillation,conditions,[1578] Lactobacillus (0.0),[1506577] Tyzzerella (0.0),[1505657] Intestinibacter (0.0),[28250] Ornithobacterium (-0.0),[39948] Dialister (0.0),[33042] Coprococcus (0.0),[570] Klebsiella (0.0),[544] Citrobacter (0.0),[572511] Blautia (0.0),[838] Prevotella (-0.0),[577309] Paraprevotella (-0.0),[1678] Bifidobacterium (0.0),[1017280] Pseudoflavonifractor (-0.0),[1301] Streptococcus (0.0),[40544] Sutterella (-0.0),[830] Butyrivibrio (0.0),[191303] Turicibacter (0.0),[1392389] Intestinimonas (-0.0),[1407607] Fusicatenibacter (0.0),[1501226] Romboutsia (0.0),[1730] Eubacterium (0.0),[2093] Mycoplasma (0.0),[100883] Coprobacillus (0.0),[29465] Veillonella (0.0),[207244] Anaerostipes (0.0),[191] Azospirillum (-0.0),[189330] Dorea (0.0),[35832] Bilophila (-0.0),[1573535] Holdemanella (0.0),[946234] Flavonifractor (-0.0)
"Depressive Disorder, Major",conditions,[216851] Faecalibacterium (-0.2533),[572511] Blautia (0.1966),[815] Bacteroidaceae (-0.1684),[31977] Veillonellaceae (-0.1684),[39948] Dialister (-0.1499),[33042] Coprococcus (-0.1219),[459786] Oscillibacter (0.1097),[201174] Actinomycetota (0.1071),[577310] Parasutterella (0.0982),[171550] Rikenellaceae (0.0982),[171552] Prevotellaceae (-0.0982),[128827] Erysipelotrichaceae (-0.0982),[375288] Parabacteroides (0.0982),[2840493] Lachnospiraceae incertae sedis (0.0982),[158846] Megamonas (0.0982),[561] Escherichia (-0.0982),[574697] Butyricimonas (0.0982),[543] Enterobacteriaceae (0.0982),[33024] Phascolarctobacterium (0.0982),[1263] Ruminococcus (-0.0982),[203492] Fusobacteriaceae (0.0982),[724] Haemophilus (-0.0982),[946234] Flavonifractor (0.0982),[186803] Lachnospiraceae (-0.0982),[838] Prevotella (-0.0909),[33958] Lactobacillaceae (0.0868),[171551] Porphyromonadaceae (0.0816),[1300] Streptococcaceae (0.0702),[2049] Actinomycetaceae (0.0702),[207244] Anaerostipes (0.0702)
