run_id,ncbi_taxon_id,taxon_rank_level,relative_abundance,name,lineage,CDF,,,,,,,,,,
ERR260506,817,species,0.205231,Bacteroides fragilis,n__cellular organisms__131567,sk__Bacteria__2,cl__FCB group__1783270,cl__Bacteroidota/Chlorobiota group__68336,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides fragilis__817,0.989408697423317,
ERR260506,411901,strain,0.06312,Bacteroides caccae ATCC 43185,n__cellular organisms__131567,sk__Bacteria__2,cl__FCB group__1783270,cl__Bacteroidota/Chlorobiota group__68336,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides caccae__47678,st__Bacteroides caccae ATCC 43185__411901,0.989300109930277
ERR260506,457387,species,0.031264,Bacteroides sp. 1_1_30,n__cellular organisms__131567,sk__Bacteria__2,cl__FCB group__1783270,cl__Bacteroidota/Chlorobiota group__68336,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,n__unclassified Bacteroides__2646097,s__Bacteroides sp. 1_1_30__457387,0.99919349155781
ERR260506,657309,strain,0.013509,Bacteroides xylanisolvens XB1A,n__cellular organisms__131567,sk__Bacteria__2,cl__FCB group__1783270,cl__Bacteroidota/Chlorobiota group__68336,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides xylanisolvens__371601,st__Bacteroides xylanisolvens XB1A__657309,0.93878075936513
ERR260506,816,genus,0.0145239999999999,Bacteroides,n__cellular organisms__131567,sk__Bacteria__2,cl__FCB group__1783270,cl__Bacteroidota/Chlorobiota group__68336,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,0.087832007470538,,
ERR260506,556260,strain,0.017176,Phocaeicola dorei 5_1_36/D4,n__cellular organisms__131567,sk__Bacteria__2,cl__FCB group__1783270,cl__Bacteroidota/Chlorobiota group__68336,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Phocaeicola__909656,s__Phocaeicola dorei__357276,st__Phocaeicola dorei 5_1_36/D4__556260,0.96527516487091
ERR260506,821,species,0.013681,Phocaeicola vulgatus,n__cellular organisms__131567,sk__Bacteria__2,cl__FCB group__1783270,cl__Bacteroidota/Chlorobiota group__68336,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Phocaeicola__909656,s__Phocaeicola vulgatus__821,0.332114938316835,
ERR260506,537011,strain,0.035553,Segatella copri DSM 18205,n__cellular organisms__131567,sk__Bacteria__2,cl__FCB group__1783270,cl__Bacteroidota/Chlorobiota group__68336,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Prevotellaceae__171552,g__Segatella__2974251,s__Segatella copri__165179,st__Segatella copri DSM 18205__537011,0.829624431430945
ERR260506,658662,species,0.006839,Parabacteroides sp. D26,n__cellular organisms__131567,sk__Bacteria__2,cl__FCB group__1783270,cl__Bacteroidota/Chlorobiota group__68336,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Tannerellaceae__2005525,g__Parabacteroides__375288,n__unclassified Parabacteroides__2649774,s__Parabacteroides sp. D26__658662,0.989538883438239
ERR260506,679935,strain,0.020888,Alistipes finegoldii DSM 17242,n__cellular organisms__131567,sk__Bacteria__2,cl__FCB group__1783270,cl__Bacteroidota/Chlorobiota group__68336,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Rikenellaceae__171550,g__Alistipes__239759,s__Alistipes finegoldii__214856,st__Alistipes finegoldii DSM 17242__679935,0.922038510048518
ERR260506,717959,strain,0.005361,Alistipes shahii WAL 8301,n__cellular organisms__131567,sk__Bacteria__2,cl__FCB group__1783270,cl__Bacteroidota/Chlorobiota group__68336,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Rikenellaceae__171550,g__Alistipes__239759,s__Alistipes shahii__328814,st__Alistipes shahii WAL 8301__717959,0.545560034200524
ERR260506,445970,strain,0.004207,Alistipes putredinis DSM 17216,n__cellular organisms__131567,sk__Bacteria__2,cl__FCB group__1783270,cl__Bacteroidota/Chlorobiota group__68336,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Rikenellaceae__171550,g__Alistipes__239759,s__Alistipes putredinis__28117,st__Alistipes putredinis DSM 17216__445970,0.366930804934639
ERR260506,742726,strain,0.012335,Barnesiella intestinihominis YIT 11860,n__cellular organisms__131567,sk__Bacteria__2,cl__FCB group__1783270,cl__Bacteroidota/Chlorobiota group__68336,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Barnesiellaceae__2005519,g__Barnesiella__397864,s__Barnesiella intestinihominis__487174,st__Barnesiella intestinihominis YIT 11860__742726,0.789330646146258
ERR260506,553175,strain,0.04799,Porphyromonas endodontalis ATCC 35406,n__cellular organisms__131567,sk__Bacteria__2,cl__FCB group__1783270,cl__Bacteroidota/Chlorobiota group__68336,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Porphyromonadaceae__171551,g__Porphyromonas__836,s__Porphyromonas endodontalis__28124,st__Porphyromonas endodontalis ATCC 35406__553175,1
ERR260506,709991,strain,0.024807,Odoribacter splanchnicus DSM 20712,n__cellular organisms__131567,sk__Bacteria__2,cl__FCB group__1783270,cl__Bacteroidota/Chlorobiota group__68336,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Odoribacteraceae__1853231,g__Odoribacter__283168,s__Odoribacter splanchnicus__28118,st__Odoribacter splanchnicus DSM 20712__709991,0.997752450844957
ERR260506,1005996,strain,0.034061,Raoultella planticola ATCC 33531,n__cellular organisms__131567,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,n__Klebsiella/Raoultella group__2890311,g__Raoultella__160674,s__Raoultella planticola__575,st__Raoultella planticola ATCC 33531__1005996,1,
ERR260506,1850565,species,0.028353,Raoultella sp. YJ,n__cellular organisms__131567,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,n__Klebsiella/Raoultella group__2890311,g__Raoultella__160674,n__unclassified Raoultella__2627600,s__Raoultella sp. YJ__1850565,1,
ERR260506,573,species,0.000305,Klebsiella pneumoniae,n__cellular organisms__131567,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,n__Klebsiella/Raoultella group__2890311,g__Klebsiella__570,s__Klebsiella pneumoniae__573,0.868303407841617,,
ERR260506,991919,serotype,0.305429,Escherichia coli O145:NM,n__cellular organisms__131567,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,g__Escherichia__561,s__Escherichia coli__562,set__Escherichia coli O145:NM__991919,1,,
ERR260506,354276,species group,0.004418,Enterobacter cloacae complex,n__cellular organisms__131567,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,g__Enterobacter__547,sgr__Enterobacter cloacae complex__354276,0.982531896465473,,,
ERR260506,286,genus,0.004285,Pseudomonas,n__cellular organisms__131567,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Pseudomonadales__72274,f__Pseudomonadaceae__135621,g__Pseudomonas__286,0.996875305808494,,,,
ERR260506,1035188,strain,0.003294,Haemophilus pittmaniae HK 85,n__cellular organisms__131567,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Pasteurellales__135625,f__Pasteurellaceae__712,g__Haemophilus__724,s__Haemophilus pittmaniae__249188,st__Haemophilus pittmaniae HK 85__1035188,0.992272042735069,,
ERR260506,883078,strain,0.0134939999999999,Afipia broomeae ATCC 49717,n__cellular organisms__131567,sk__Bacteria__2,p__Pseudomonadota__1224,c__Alphaproteobacteria__28211,o__Hyphomicrobiales__356,f__Nitrobacteraceae__41294,g__Afipia__1033,s__Afipia broomeae__56946,st__Afipia broomeae ATCC 49717__883078,1,,
ERR260506,1033,genus,0.003567,Afipia,n__cellular organisms__131567,sk__Bacteria__2,p__Pseudomonadota__1224,c__Alphaproteobacteria__28211,o__Hyphomicrobiales__356,f__Nitrobacteraceae__41294,g__Afipia__1033,1,,,,
ERR260506,666684,species,0.000159,Afipia sp. 1NLS2,n__cellular organisms__131567,sk__Bacteria__2,p__Pseudomonadota__1224,c__Alphaproteobacteria__28211,o__Hyphomicrobiales__356,f__Nitrobacteraceae__41294,g__Afipia__1033,n__unclassified Afipia__2642050,s__Afipia sp. 1NLS2__666684,1,,
ERR260506,1112212,strain,0.00069,Sphingomonas echinoides ATCC 14820,n__cellular organisms__131567,sk__Bacteria__2,p__Pseudomonadota__1224,c__Alphaproteobacteria__28211,o__Sphingomonadales__204457,f__Sphingomonadaceae__41297,g__Sphingomonas__13687,s__Sphingomonas echinoides__59803,st__Sphingomonas echinoides ATCC 14820__1112212,1,,
ERR260506,742823,strain,0.0188979999999999,Sutterella wadsworthensis 2_1_59BFAA,n__cellular organisms__131567,sk__Bacteria__2,p__Pseudomonadota__1224,c__Betaproteobacteria__28216,o__Burkholderiales__80840,f__Sutterellaceae__995019,g__Sutterella__40544,s__Sutterella wadsworthensis__40545,st__Sutterella wadsworthensis 2_1_59BFAA__742823,0.985499021351419,,
ERR260506,1574262,species,0.010864,Sutterella sp. KLE1602,n__cellular organisms__131567,sk__Bacteria__2,p__Pseudomonadota__1224,c__Betaproteobacteria__28216,o__Burkholderiales__80840,f__Sutterellaceae__995019,g__Sutterella__40544,n__unclassified Sutterella__2644090,s__Sutterella sp. KLE1602__1574262,0.969736167094077,,
ERR260506,718252,strain,0.015906,Faecalibacterium prausnitzii L2-6,n__cellular organisms__131567,sk__Bacteria__2,cl__Terrabacteria group__1783272,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,g__Faecalibacterium__216851,s__Faecalibacterium prausnitzii__853,st__Faecalibacterium prausnitzii L2-6__718252,0.828162534098697,
ERR260506,186803,family,0.005443,Lachnospiraceae,n__cellular organisms__131567,sk__Bacteria__2,cl__Terrabacteria group__1783272,p__Bacillota__1239,c__Clostridia__186801,o__Lachnospirales__3085636,f__Lachnospiraceae__186803,0.0425923818699594,,,,
ERR260506,470146,strain,0.003788,Coprococcus comes ATCC 27758,n__cellular organisms__131567,sk__Bacteria__2,cl__Terrabacteria group__1783272,p__Bacillota__1239,c__Clostridia__186801,o__Lachnospirales__3085636,f__Lachnospiraceae__186803,g__Coprococcus__33042,s__Coprococcus comes__410072,st__Coprococcus comes ATCC 27758__470146,0.653019754155648,
ERR260506,186802,order,0.000814,Eubacteriales,n__cellular organisms__131567,sk__Bacteria__2,cl__Terrabacteria group__1783272,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,0.0282411139611579,,,,,
ERR260506,39950,species,0.014932,Dialister pneumosintes,n__cellular organisms__131567,sk__Bacteria__2,cl__Terrabacteria group__1783272,p__Bacillota__1239,c__Negativicutes__909932,o__Veillonellales__1843489,f__Veillonellaceae__31977,g__Dialister__39948,s__Dialister pneumosintes__39950,0.993860296940162,,
ERR260506,592028,strain,0.006431,Dialister invisus DSM 15470,n__cellular organisms__131567,sk__Bacteria__2,cl__Terrabacteria group__1783272,p__Bacillota__1239,c__Negativicutes__909932,o__Veillonellales__1843489,f__Veillonellaceae__31977,g__Dialister__39948,s__Dialister invisus__218538,st__Dialister invisus DSM 15470__592028,0.791062660315061,
