run_id,ncbi_taxon_id,taxon_rank_level,relative_abundance,name,lineage,CDF
SRR5831595,1350,genus,0.029713,Enterococcus,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Enterococcaceae__81852;g__Enterococcus__1350,0.9887827348372369
SRR5831595,1134807,strain,0.442701,Enterococcus faecium 506,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Enterococcaceae__81852;g__Enterococcus__1350;s__Enterococcus faecium__1352;st__Enterococcus faecium 506__1134807,1.0
SRR5831595,1581071,species,0.00023,Granulicatella sp. HMSC30F09,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Carnobacteriaceae__186828;g__Granulicatella__117563;n__unclassified Granulicatella__2630493;s__Granulicatella sp. HMSC30F09__1581071,0.9973215376292417
SRR5831595,638301,strain,0.0001,Granulicatella adiacens ATCC 49175,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Carnobacteriaceae__186828;g__Granulicatella__117563;s__Granulicatella adiacens__46124;st__Granulicatella adiacens ATCC 49175__638301,0.9928545254671037
SRR5831595,626369,strain,8e-06,Granulicatella elegans ATCC 700633,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Carnobacteriaceae__186828;g__Granulicatella__117563;s__Granulicatella elegans__137732;st__Granulicatella elegans ATCC 700633__626369,0.997650892529868
SRR5831595,1144300,strain,0.000174,Limosilactobacillus gastricus PS3,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Lactobacillaceae__33958;g__Limosilactobacillus__2742598;s__Limosilactobacillus gastricus__227942;st__Limosilactobacillus gastricus PS3__1144300,0.9990362770244499
SRR5831595,592010,strain,0.000112,Abiotrophia defectiva ATCC 49176,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Aerococcaceae__186827;g__Abiotrophia__46123;s__Abiotrophia defectiva__46125;st__Abiotrophia defectiva ATCC 49176__592010,0.9987989088391155
SRR5831595,1581061,species,4.7e-05,Abiotrophia sp. HMSC24B09,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Aerococcaceae__186827;g__Abiotrophia__46123;n__unclassified Abiotrophia__2608917;s__Abiotrophia sp. HMSC24B09__1581061,0.994274459508877
SRR5831595,1157946,strain,0.15975,Streptococcus salivarius PS4,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Streptococcaceae__1300;g__Streptococcus__1301;s__Streptococcus salivarius__1304;st__Streptococcus salivarius PS4__1157946,1.0
SRR5831595,435842,species,0.151131,Streptococcus sp. C150,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Streptococcaceae__1300;g__Streptococcus__1301;n__unclassified Streptococcus__2608887;s__Streptococcus sp. C150__435842,1.0
SRR5831595,1301,genus,0.0216559999999999,Streptococcus,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Streptococcaceae__1300;g__Streptococcus__1301,0.9398620599646688
